startdate,enddate,value
2013-03-01,2013-03-31,0.3
2013-04-01,2013-04-30,0.5
2013-05-01,2013-05-31,0.7
2013-06-01,2013-06-30,0.4
2013-07-01,2013-07-31,0.8
2013-08-01,2013-08-31,0.1
2013-09-01,2013-09-30,0.2
2013-10-01,2013-10-31,0.6
2013-11-01,2013-11-30,0.6
2013-12-01,2013-12-31,0.5
2014-01-01,2014-01-31,0.6
2014-02-01,2014-02-28,0.7
2014-03-01,2014-03-31,1.0
2014-04-01,2014-04-30,0.9
2014-05-01,2014-05-31,0.9
2014-06-01,2014-06-30,0.6
2014-07-01,2014-07-31,0.5
2014-08-01,2014-08-31,0.2
2014-09-01,2014-09-30,0.7
2014-10-01,2014-10-31,0.8
2014-11-01,2014-11-30,1.3
2014-12-01,2014-12-31,2.6
2015-01-01,2015-01-31,3.85
2015-02-01,2015-02-28,2.2
2015-03-01,2015-03-31,1.21
2015-04-01,2015-04-30,0.46
2015-05-01,2015-05-31,0.35
2015-06-01,2015-06-30,0.2
2015-07-01,2015-07-31,0.8
2015-08-01,2015-08-31,0.4
2015-09-01,2015-09-30,0.6
2015-10-01,2015-10-31,0.7
2015-11-01,2015-11-30,0.8
2015-12-01,2015-12-31,0.8
2016-01-01,2016-01-31,1.0
2016-02-01,2016-02-29,0.6
2016-03-01,2016-03-31,0.5
2016-04-01,2016-04-30,0.4
2016-05-01,2016-05-31,0.4
2016-06-01,2016-06-30,0.4
2016-07-01,2016-07-31,0.5
2016-08-01,2016-08-31,0.0
2016-09-01,2016-09-30,0.2
2016-10-01,2016-10-31,0.4
2016-11-01,2016-11-30,0.4
2016-12-01,2016-12-31,0.4
2017-01-01,2017-01-31,0.6
2017-02-01,2017-02-28,0.2
2017-03-01,2017-03-31,0.1
2017-04-01,2017-04-30,0.3
2017-05-01,2017-05-31,0.4
2017-06-01,2017-06-30,0.6
2017-07-01,2017-07-31,0.1
2017-08-01,2017-08-31,-0.5
2017-09-01,2017-09-30,-0.1
2017-10-01,2017-10-31,0.2
2017-11-01,2017-11-30,0.2
2017-12-01,2017-12-31,0.4
2018-01-01,2018-01-31,0.3
2018-02-01,2018-02-28,0.2
2018-03-01,2018-03-31,0.3
2018-04-01,2018-04-30,0.4
2018-05-01,2018-05-31,0.4
2018-06-01,2018-06-30,0.5
2018-07-01,2018-07-31,0.3
2018-08-01,2018-08-31,0.0
2018-09-01,2018-09-30,0.2
2018-10-01,2018-10-31,0.4
2018-11-01,2018-11-30,0.5
2018-12-01,2018-12-31,0.8
2019-01-01,2019-01-31,1.0
2019-02-01,2019-02-28,0.4
2019-03-01,2019-03-31,0.3
2019-04-01,2019-04-30,0.3
2019-05-01,2019-05-31,0.3
2019-06-01,2019-06-30,0.0
2019-07-01,2019-07-31,0.2
2019-08-01,2019-08-31,-0.2
2019-09-01,2019-09-30,-0.2
2019-10-01,2019-10-31,0.1
2019-11-01,2019-11-30,0.3
2019-12-01,2019-12-31,0.4
2020-01-01,2020-01-31,0.4
2020-02-01,2020-02-29,0.3
2020-03-01,2020-03-31,0.6
2020-04-01,2020-04-30,0.83
2020-05-01,2020-05-31,0.27
2020-06-01,2020-06-30,0.22
2020-07-01,2020-07-31,0.35
2020-08-01,2020-08-31,-0.04
2020-09-01,2020-09-30,-0.07
2020-10-01,2020-10-31,0.43
2020-11-01,2020-11-30,0.71
2020-12-01,2020-12-31,0.83
2021-01-01,2021-01-31,0.67
2021-02-01,2021-02-28,0.78
2021-03-01,2021-03-31,0.66
2021-04-01,2021-04-30,0.58
2021-05-01,2021-05-31,0.74
2021-06-01,2021-06-30,0.7
2021-07-01,2021-07-31,0.3
2021-08-01,2021-08-31,0.17
2021-09-01,2021-09-30,0.6
2021-10-01,2021-10-31,1.1
2021-11-01,2021-11-30,0.96
2021-12-01,2021-12-31,0.82
2022-01-01,2022-01-31,0.99
2022-02-01,2022-02-28,1.2
2022-03-01,2022-03-31,7.6
2022-04-01,2022-04-30,1.6
2022-05-01,2022-05-31,0.1
2022-06-01,2022-06-30,-0.35
2022-07-01,2022-07-31,-0.39
2022-08-01,2022-08-31,-0.5
2022-09-01,2022-09-30,0.1
